,E,M,N,spike,nsp1,nsp10,nsp11,nsp12,nsp13,nsp14,nsp15,nsp2,nsp4,nsp5,nsp5_C145A,nsp6,nsp7,nsp8,nsp9,orf10,orf3a,orf3b,orf6,orf7a,orf8,orf9b,orf9c,SARS,IBV,MERS,CoV-229E,CoV-NL63,MHV
Flumethasone,0.512009919,0.633639038,1.497883916,0.681646347,-0.091748729,1.270409107,0.485127091,0.027099665,-0.873622358,0.851298392,-0.305829197,0.549351454,0.75215745,0.891713738,0.637517214,0.686864614,0.75620842,1.554875731,-0.826443255,0.157216325,0.060495969,0.168669119,-0.68283236,0.648500562,1.26401794,0.269603431,1.033196807,2.932662725,2.702565908,2.09799695,0.686690629,1.091494441,2.004820108
Rimexolone,0.586753309,0.558096349,1.456623912,0.888990402,0.061313309,1.287956595,0.667118847,0.127089038,-0.426905036,0.829655051,-0.113687575,0.444183052,0.763679504,1.040235639,0.822215676,0.810997784,0.8208341,1.608753324,-0.450955033,0.266928375,0.005057409,0.27251789,-0.397402108,0.881861448,1.395172,0.661976516,0.985000134,2.929699421,2.720289707,1.884025455,0.955705822,1.377263188,2.049979448
Clocortolone,0.451409757,0.58223772,1.434683204,0.52116251,-0.041512035,1.136994839,0.326382697,-0.065162629,-0.840184987,0.655606091,-0.385849983,0.446590513,0.730704546,0.905038357,0.606674314,0.79435569,0.686485589,1.264877558,-0.807762325,0.014628481,-0.021331092,0.088268086,-0.708183467,0.731837988,1.228025794,0.245844841,0.989145935,2.898300886,2.466409206,1.787656188,0.577363133,1.122539043,1.97366631
Dexamethasone,1.624871492,1.755652905,1.709513068,2.156649113,1.15698421,2.375236273,1.792232752,1.611223459,1.457181573,1.871875882,1.058052421,1.348035812,1.67591393,2.487750292,1.868634939,1.964835644,1.619411349,1.65897584,1.49167347,1.194049835,1.440433264,1.833350301,1.620757222,2.586529016,2.160375834,1.392339826,1.870411873,2.863852739,2.215547323,1.80036068,2.032148838,2.441399336,2.574095011
Flurandrenolide,1.170858622,1.013933778,1.815122128,1.212920427,0.602744043,1.660126686,1.066887736,0.815657973,-0.133422256,1.453827858,0.405888706,1.158960581,1.090181351,1.373177886,1.008030772,1.199219227,1.135049105,1.87856853,-0.138076901,0.818931341,0.586229205,0.741186142,-0.018132176,1.060477257,1.656944275,0.792467892,1.352980494,2.862645388,2.664024591,2.492913008,1.236124039,1.370406389,1.992283702
Alclometasone,0.53473407,0.677218318,1.403821945,0.691213727,0.066089913,1.203718662,0.549552619,0.111312933,-0.596614659,0.842644095,-0.277541399,0.624863982,0.822147548,1.014287591,0.699350059,0.894713521,0.700131536,1.271958113,-0.565894306,0.16678533,0.14389427,0.309290081,-0.512007713,0.881206214,1.271806717,0.20304504,1.12034905,2.822280407,2.452663422,1.938348174,0.680009186,1.20224452,2.02134037
Fluocinonide,0.637309432,0.738363624,1.412004828,1.10696876,0.209238887,1.492619038,0.960187972,0.346852094,-0.340625435,0.98072511,-0.094922811,0.561674058,0.970874548,1.187333465,0.966432631,0.938452899,0.825094938,1.461599588,-0.299451321,0.28666085,0.277113289,0.41343227,-0.159883708,1.076379776,1.410583615,0.621821761,1.148047447,2.813240051,2.549188137,1.962797761,1.020263553,1.437672496,2.131751299
Desoximetasone,0.854961276,0.835725427,1.611022711,1.093554497,0.465314656,1.447905302,1.034767389,0.630520165,0.022406779,1.206813812,0.217989907,0.876680851,1.001363277,1.284288764,0.964814484,1.118248463,0.933972538,1.650099754,-0.093017951,0.589645267,0.442384392,0.650988698,-0.089236118,1.14682889,1.550282836,0.816255391,1.251468778,2.809508801,2.500304222,2.187470675,1.042171478,1.426848888,2.074927092
Diflorasone,0.846254051,0.814495206,1.552529097,1.155578732,0.470109075,1.423466325,0.941084623,0.51843226,-0.21490851,1.276536345,0.299693197,0.850499272,0.8291381,1.340214133,0.873105228,1.088667393,0.934244156,1.73789525,-0.197338924,0.581973374,0.267167449,0.668756843,-0.141022518,0.985592663,1.716708183,0.883348823,1.243805766,2.780601263,2.417693138,2.163662434,1.073559999,1.433644176,1.834929466
Desonide,0.732933819,0.746403813,1.492195249,0.860100746,0.256029427,1.26541996,0.746137321,0.445463181,-0.13713941,0.787285864,-0.204414368,0.686549425,0.957510054,1.227049828,0.985296667,1.115967274,0.775683522,1.169481277,-0.294403613,0.219069913,0.248927012,0.386918545,-0.287501693,1.174171329,1.321424842,0.479433924,1.15623033,2.776882648,2.456718922,1.772847772,0.870023787,1.407056808,2.182454824
